Netherlands,2010,8284.404,8398.523
New Caledonia,2010,127.335,123.692
New Zealand,2010,2145.763,2224.297
Nicaragua,2010,2826.852,2910.867
Niger,2010,8209.607,8215.975
Nigeria,2010,80204.204,78374.055
Niue,2010,0.825,0.809
Northern Mariana Islands,2010,26.637,27.789
Norway,2010,2442.442,2443.436
Oceania,2010,18366.099,18269.466
Oman,2010,1834.557,1206.907
Pakistan,2010,87686.774,82873.404
Palau,2010,11.085,9.382
Panama,2010,1830.166,1813.054
Papua New Guinea,2010,3615,3493.248
Paraguay,2010,3150.39,3059.482
Peru,2010,14675.72,14697.919
Philippines,2010,47309.832,46416.787
Poland,2010,18529.195,19794.212
Polynesia,2010,335.933,323.131
Portugal,2010,5100.019,5552.306
Puerto Rico,2010,1786.149,1930.54
Qatar,2010,1349.48,430.199
Republic of Korea,2010,24828.498,24724.347
Republic of Moldova,2010,1963.731,2120.759
Réunion,2010,402.132,428.375
Romania,2010,9924.158,10516.19
Russian Federation,2010,66388.824,76765.05
Rwanda,2010,5017.009,5229.828
Saint Helena,2010,2.128,2.047
Saint Kitts and Nevis,2010,25.466,25.978
Saint Lucia,2010,84.684,87.89
Saint Pierre and Miquelon,2010,3.109,3.171
Saint Vincent and the Grenadines,2010,55.198,54.112
Samoa,2010,96.051,90.154
San Marino,2010,15.355,15.761
Sao Tome and Principe,2010,86.964,87.806
Saudi Arabia,2010,15400.643,12025.048
Senegal,2010,6323.796,6592.433
Serbia,2010,4416.196,4613.525
Seychelles,2010,47.139,44.262
Sierra Leone,2010,3189.798,3268.921
Singapore,2010,2503.787,2570.47
Sint Maarten (Dutch part),2010,15.826,17.304
Slovakia,2010,2621.333,2782.96
Slovenia,2010,1011.59,1033.574
Solomon Islands,2010,268.171,259.625
Somalia,2010,6017.235,6035.996
South Sudan,2010,5032.251,5034.945
Spain,2010,23132.789,23655.836
Sri Lanka,2010,9828.887,10369.473
State of Palestine,2010,2062.524,2004.302
Sudan,2010,17153.255,17232.706
Suriname,2010,264.557,261.538
Swaziland,2010,583.309,619.534
Sweden,2010,4677.17,4712.987
Switzerland,2010,3856.024,3975.943
Syrian Arab Republic,2010,10609.286,10409.563
Tajikistan,2010,3851.349,3790.275
TFYR Macedonia,2010,1034.49,1036.243
Thailand,2010,32937.515,34271.289
Timor-Leste,2010,563.431,546.157
Togo,2010,3237.086,3265.86
Tokelau,2010,0.541,0.588
Tonga,2010,52.153,51.981
Trinidad and Tobago,2010,657.278,670.815
Tunisia,2010,5276.099,5363.833
Turkey,2010,35564.195,36762.714
Turkmenistan,2010,2502.513,2584.695
Turks and Caicos Islands,2010,15.597,15.398
Tuvalu,2010,5.14,5.402
Uganda,2010,16840.539,17074.599
Ukraine,2010,21136.606,24655.899
United Arab Emirates,2010,6161.489,2109.193
United Kingdom,2010,31099.747,32207.098
United Republic of Tanzania,2010,22749.591,23349.004
United States of America,2010,152447.66,156193.735
United States Virgin Islands,2010,50.8,55.348
Uruguay,2010,1627.196,1747.221
Uzbekistan,2010,14228.018,14378.27
Vanuatu,2010,119.97,116.34
Venezuela (Bolivarian Republic of),2010,14490.428,14537.62
Viet Nam,2010,43683.064,44789.442
Wallis and Futuna Islands,2010,6.637,6.789
Yemen,2010,11928.388,11678.403
Zambia,2010,6864.296,6985.74
Zimbabwe,2010,6859.21,7227.116
